listing_id,listed,available,unit,house,street,suburb,city,price,bedrooms,bathrooms,href,photo
1378511170,2017/07/24,2017/08/21,,78A,SALAMANCA ROAD,Kelburn,Wellington,785,2,2,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1378511170.htm,https://trademe.tmcdn.co.nz/photoserver/med/621349551.jpg
1380976167,2017/07/27,2017/08/12,,18,LINCOLN STREET,Brooklyn,Wellington,550,3,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1380976167.htm,https://trademe.tmcdn.co.nz/photoserver/med/622090791.jpg
1379296829,2017/07/25,2017/08/20,,17,FREYBERG STREET,Lyall Bay,Wellington,750,3,2,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1379296829.htm,https://trademe.tmcdn.co.nz/photoserver/med/621260565.jpg
1380228641,2017/07/26,2017/07/29,,35A,GRANT RD,Thorndon,Wellington,625,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1380228641.htm,https://trademe.tmcdn.co.nz/photoserver/med/621729951.jpg
1375739484,2017/07/20,2017/08/05,,7A,RIBBLE STREET,Island Bay,Wellington,495,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1375739484.htm,https://trademe.tmcdn.co.nz/photoserver/med/619441330.jpg
1381698513,2017/07/28,2017/07/28,101,11-21,HOLLAND STREET,Te Aro,Wellington,510,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1381698513.htm,https://trademe.tmcdn.co.nz/photoserver/med/622541367.jpg
1379519515,2017/07/25,2017/08/18,,11A,OWEN STREET,Newtown,Wellington,520,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1379519515.htm,https://trademe.tmcdn.co.nz/photoserver/med/621395176.jpg
1378855372,2017/07/24,2017/08/01,,104A,RUSKIN ROAD,Newlands,Wellington,295,1,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1378855372.htm,https://trademe.tmcdn.co.nz/photoserver/med/621078341.jpg
1376331699,2017/07/21,2017/08/26,,19B,PERCY DYETT DRIVE,Karori,Wellington,415,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1376331699.htm,https://trademe.tmcdn.co.nz/photoserver/med/619637896.jpg
1380865358,2017/07/27,2017/08/19,,126,THE TERRACE,Wellington Central,Wellington,350,1,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1380865358.htm,https://trademe.tmcdn.co.nz/photoserver/med/622017428.jpg
1377064993,2017/07/22,2017/07/23,,6,NOTTINGHAM STREET,Karori,Wellington,570,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1377064993.htm,https://trademe.tmcdn.co.nz/photoserver/med/620075281.jpg
1381751964,2017/07/28,2017/08/14,,15,EDGECOMBE STREET,Newlands,Wellington,300,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1381751964.htm,https://trademe.tmcdn.co.nz/photoserver/med/622603214.jpg
1377974319,2017/07/23,2017/08/20,20,72,TORY STREET,Wellington Central,Wellington,520,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1377974319.htm,https://trademe.tmcdn.co.nz/photoserver/med/622065983.jpg
1376532715,2017/07/21,2017/08/05,405,72-82,TARANAKI ST,Te Aro,Wellington,460,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1376532715.htm,https://trademe.tmcdn.co.nz/photoserver/med/619750881.jpg
1381599490,2017/07/28,2017/08/27,,121,HILL STREET,Thorndon,Wellington,440,2,1,http://www.trademe.co.nz/property/residential-property-to-rent/auction-1381599490.htm,https://trademe.tmcdn.co.nz/photoserver/med/622462505.jpg
